litery liczby1 liczby2
a 57 -0.9530896020066546
b 77 -0.20187286999570553
c 13 -1.7603941243343195
d 32 1.3304802473669788
e 12 -0.2829453184468026
f 44 1.522439955753511
g 79 0.5717602478066913
h 54 1.0258691401615088
i 39 -1.2956899178027723
j 15 0.25181751717378636
k 30 -0.24368744800652545
l 50 2.8139099093662616
m 84 1.0497158996981348
n 96 -1.7356738652119583
o 99 0.10662576577392362
p 20 -1.7510785599657628
q 26 0.17317449133702398
r 56 0.6522121368264051
s 71 1.9454942144538532
t 7 0.5589092388001038
u 88 0.6267323041254452
v 87 0.27702086463614867
w 61 -1.0351641763472594
x 68 -0.5109705390904086
y 74 -0.7859605793102504
z 67 1.19627452724386
